,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
2875,-4.824999999999999,-4.925,-5.125,-4.725,-2.5249999999999995,3.875000000000001,4.7749999999999995,4.675,4.175,-3.125,4.075,3.675
2894,-1.2166666666666672,-1.516666666666667,-1.416666666666667,-1.416666666666667,-1.3166666666666669,-1.416666666666667,-0.11666666666666714,-1.016666666666667,-1.6166666666666671,-0.3166666666666669,5.283333333333333,6.083333333333332
4722,2.9416666666666664,2.841666666666667,2.841666666666667,2.241666666666667,-4.458333333333334,2.241666666666667,2.041666666666666,1.8416666666666668,1.541666666666666,-0.15833333333333321,-6.758333333333334,-7.158333333333333
1512,-0.18333333333333313,-0.2833333333333332,-0.18333333333333313,0.5166666666666666,0.6166666666666667,0.5166666666666666,0.8166666666666664,-0.18333333333333313,-0.2833333333333332,-0.583333333333333,-0.4833333333333334,-0.2833333333333332
3325,-0.6833333333333336,-0.7833333333333337,-0.9833333333333334,-0.9833333333333334,-0.9833333333333334,-0.9833333333333334,-1.0833333333333335,0.31666666666666643,-0.6833333333333336,-0.6833333333333336,0.1166666666666667,7.416666666666666
5189,0.2250000000000001,0.02499999999999991,-0.17499999999999982,-0.07499999999999973,-0.17499999999999982,-0.17499999999999982,-0.2749999999999999,-0.07499999999999973,-0.17499999999999982,-0.2749999999999999,0.02499999999999991,1.125
6536,-0.8416666666666663,-0.7416666666666663,-0.8416666666666663,-0.5416666666666665,-0.6416666666666662,-0.34166666666666634,-0.6416666666666662,-0.44166666666666643,0.7583333333333337,2.2583333333333333,1.3583333333333338,0.6583333333333337
6531,8.858333333333333,2.958333333333333,-0.04166666666666696,0.15833333333333277,-1.041666666666667,-1.7416666666666671,-1.641666666666667,-1.7416666666666671,-1.4416666666666673,-1.541666666666667,-1.2416666666666671,-1.541666666666667
1417,0.3500000000000001,0.3500000000000001,0.1499999999999999,-0.050000000000000266,-0.050000000000000266,-0.25,-0.050000000000000266,-0.050000000000000266,-0.1499999999999999,-0.050000000000000266,-0.050000000000000266,-0.1499999999999999
3359,0.42500000000000027,0.02499999999999991,0.02499999999999991,0.3250000000000002,0.02499999999999991,0.125,-0.2749999999999999,-0.17499999999999982,0.3250000000000002,-0.17499999999999982,-0.4750000000000001,-0.17499999999999982
1777,2.541666666666666,3.2416666666666654,3.6416666666666657,-2.2583333333333337,2.341666666666667,4.141666666666666,3.6416666666666657,3.1416666666666657,-3.958333333333334,-5.458333333333334,-5.558333333333334,-5.458333333333334
1730,4.7,4.400000000000001,-2.8,3.8,4.400000000000001,4.400000000000001,0.20000000000000018,-3.1999999999999993,-3.8999999999999995,-3.4999999999999996,-4.199999999999999,-4.299999999999999
5704,-5.0,-1.5,2.3,4.1000000000000005,4.3,4.3,3.8999999999999995,3.8999999999999995,-1.7999999999999998,-4.199999999999999,-4.9,-5.4
6401,-4.466666666666668,1.8333333333333321,1.4333333333333318,1.2333333333333325,1.1333333333333329,-3.9666666666666677,1.5333333333333332,2.333333333333332,1.4333333333333318,0.7333333333333325,-1.3666666666666671,-1.8666666666666671
854,-0.20833333333333393,0.2916666666666661,0.8916666666666662,0.5916666666666663,-0.10833333333333384,-0.20833333333333393,-0.20833333333333393,0.5916666666666663,-0.10833333333333384,-0.20833333333333393,-0.40833333333333366,-0.9083333333333337
323,-5.558333333333333,-5.558333333333333,-5.258333333333333,-1.958333333333333,2.3416666666666677,2.9416666666666673,3.241666666666668,3.041666666666667,-3.758333333333333,3.1416666666666666,3.9416666666666673,3.4416666666666673
4657,6.300000000000001,6.199999999999999,4.199999999999999,2.9000000000000004,3.4000000000000004,-3.1,-3.4,-3.0,-3.4,-3.4,-3.4,-3.3
5593,7.5249999999999995,6.825,2.2249999999999996,-1.5750000000000002,-1.7750000000000004,-1.0750000000000002,-1.7750000000000004,-2.075,-1.975,-2.1750000000000003,-2.075,-2.075
2682,-0.5833333333333335,-0.7833333333333332,1.1166666666666667,-0.4833333333333334,-0.5833333333333335,0.3166666666666669,0.4166666666666665,0.016666666666666607,0.21666666666666679,0.3166666666666669,0.016666666666666607,0.016666666666666607
528,0.8083333333333331,0.20833333333333304,0.10833333333333295,0.10833333333333295,-0.4916666666666667,0.008333333333333304,-0.39166666666666705,-0.29166666666666696,-0.39166666666666705,-0.09166666666666679,0.20833333333333304,0.20833333333333304
4553,-5.691666666666666,1.708333333333334,2.8083333333333336,2.6083333333333343,2.408333333333333,-3.8916666666666657,1.0083333333333346,0.9083333333333332,1.8083333333333336,1.4083333333333332,0.4083333333333332,-5.491666666666666
5224,-7.675,-5.375,1.625,1.7249999999999996,2.5250000000000004,3.0250000000000004,-4.375,2.625,1.9250000000000007,2.5250000000000004,2.125,-0.6749999999999989
